customer_id,age,gender,location,income_level,education_level,platform,likes_received,comments_posted,shares,time_spent_per_week,click_through_rate,average_order_value,frequency_of_purchases,discounts_used,cart_abandonment_rate,search_trends_index,seasonal_effect,competitor_offers,sentiment_score,customer_support_queries,response_time,campaign_id,marketing_channel,ad_spent,conversion_rate,ROI,customer_response
CUST_23,58,Other,UK,Medium,High School,Instagram,411,493,0,10.18,59.18,218.15,8,0,86.91,21.25,Holiday,1,-0.74,0,87,CAMPAIGN_19,TV Ads,9037.56,94.36,37.66,0
CUST_24,61,Male,Canada,Medium,Master's,Instagram,944,136,96,42.98,37.72,254.48,22,1,92.86,91.89,Summer,1,-0.59,17,14,CAMPAIGN_17,TV Ads,607.59,1.39,-4.74,0
CUST_25,22,Male,Germany,Medium,Bachelor's,Twitter,382,462,44,6.25,36.61,429.37,15,1,74.96,24.4,Winter,1,-0.33,8,79,CAMPAIGN_4,Email,4460.34,80.77,6.84,0
CUST_26,60,Male,Germany,Low,High School,Twitter,115,474,74,47.22,11.45,412.44,13,1,9.92,92.84,Summer,0,-0.78,12,63,CAMPAIGN_20,Email,3924.63,44.83,163.26,0
CUST_27,47,Other,USA,Medium,Master's,Instagram,621,462,97,3.13,50.93,42.66,23,1,85.84,26.91,None,1,-0.52,0,10,CAMPAIGN_19,TV Ads,8202.76,92.28,135.48,0
CUST_28,63,Male,India,Medium,PhD,Instagram,729,358,214,21.22,74.75,253.49,26,0,76.92,95.38,Winter,1,-0.94,17,76,CAMPAIGN_7,Google Ads,8571.34,47.56,16.03,0
CUST_29,33,Other,USA,Medium,Master's,LinkedIn,593,80,115,19.56,56.5,26.3,21,0,30.72,62.51,Holiday,1,0.7,12,23,CAMPAIGN_9,Google Ads,5054.74,61.64,153.76,1
CUST_30,43,Female,Germany,High,High School,Twitter,970,143,181,16.52,66.24,21.29,17,1,21.51,9.17,Winter,0,0.77,0,83,CAMPAIGN_10,TV Ads,1598.68,50.17,196.93,1
CUST_31,55,Other,India,Medium,PhD,Facebook,707,3,237,8.95,30.62,256.63,7,1,4.95,30.23,Holiday,0,-0.09,4,12,CAMPAIGN_5,TV Ads,7991.27,25.23,155.64,0
CUST_32,63,Male,UK,Low,High School,Instagram,721,217,86,32.15,79.1,260.82,13,0,11.95,90.66,Summer,0,0.67,18,19,CAMPAIGN_20,Social Media,2450.94,63.59,191.59,1
CUST_33,22,Female,Canada,High,Master's,Instagram,975,352,90,16.13,74.47,450.37,10,0,34.69,57.59,Holiday,1,0.32,12,70,CAMPAIGN_2,Social Media,8638.07,82.06,-46.4,1
CUST_34,32,Other,UK,High,High School,Instagram,588,129,37,34.54,16.77,166.83,3,1,86.83,75.59,Winter,1,-0.09,1,24,CAMPAIGN_15,Email,2066.12,69.79,-24.03,0
CUST_35,43,Female,UK,High,Bachelor's,Instagram,773,372,249,9.08,26.12,344.61,1,1,23.84,18.69,None,1,-0.99,5,61,CAMPAIGN_10,Email,5756.0,40.64,38.52,0
CUST_36,51,Other,USA,Low,Bachelor's,Facebook,828,212,116,49.22,42.97,404.67,17,0,44.97,44.99,Holiday,1,-0.54,4,55,CAMPAIGN_18,Google Ads,3114.37,75.59,158.11,0
CUST_37,36,Other,Canada,High,High School,Twitter,424,183,99,44.94,39.25,204.43,17,0,4.52,93.69,None,0,0.05,13,38,CAMPAIGN_3,Social Media,9240.76,3.2,56.8,0
CUST_38,52,Male,USA,High,Bachelor's,Instagram,666,493,158,26.92,23.99,222.95,7,1,58.55,61.07,None,0,-0.23,1,6,CAMPAIGN_13,Google Ads,1743.8,68.49,11.65,0
CUST_39,35,Other,India,High,PhD,Facebook,790,7,57,27.97,35.16,258.68,17,1,6.43,65.37,Summer,0,-0.41,5,80,CAMPAIGN_20,TV Ads,7857.83,81.81,171.47,0
CUST_40,34,Male,India,Medium,Master's,Facebook,191,275,139,21.8,91.13,121.4,2,0,17.4,26.24,Summer,1,-0.59,4,107,CAMPAIGN_16,Google Ads,8936.96,93.23,18.05,0
CUST_41,50,Female,UK,High,Master's,Instagram,539,205,165,25.57,15.28,414.38,25,1,8.93,73.06,None,0,-0.57,6,41,CAMPAIGN_14,TV Ads,9338.54,58.13,135.86,0
CUST_42,36,Other,Germany,Medium,Bachelor's,LinkedIn,393,214,262,44.45,57.68,114.98,8,1,29.64,73.98,Winter,1,-0.33,18,12,CAMPAIGN_17,Google Ads,5748.31,47.15,124.35,0
CUST_43,61,Other,UK,Low,Bachelor's,Twitter,181,295,252,21.69,2.64,12.93,25,0,70.36,2.57,None,0,-0.37,9,66,CAMPAIGN_13,TV Ads,4291.62,28.97,-8.39,0
CUST_44,24,Male,USA,Low,High School,Instagram,50,2,78,3.97,23.69,116.27,8,0,13.22,29.35,None,0,-0.22,1,55,CAMPAIGN_13,TV Ads,7591.44,55.19,184.8,0
CUST_45,44,Male,India,Low,High School,Facebook,663,295,283,21.24,99.84,87.2,23,1,15.51,20.22,None,0,0.94,18,62,CAMPAIGN_19,Google Ads,5266.83,34.15,50.13,1
CUST_46,53,Other,Germany,High,Bachelor's,Twitter,526,125,167,31.79,32.57,402.82,1,1,34.92,35.57,Winter,1,0.61,7,73,CAMPAIGN_11,TV Ads,4919.29,75.39,57.36,0
CUST_47,63,Female,Germany,Medium,Bachelor's,Facebook,103,207,72,35.44,57.57,495.92,1,0,97.54,65.46,Summer,1,-0.72,2,100,CAMPAIGN_10,Email,7338.26,62.04,149.52,0
CUST_48,46,Female,USA,High,PhD,LinkedIn,801,152,165,14.08,97.61,358.12,20,0,6.91,68.32,Summer,1,-0.61,10,3,CAMPAIGN_3,Social Media,6739.6,8.3,146.41,0
CUST_49,50,Female,Germany,High,Bachelor's,Instagram,740,357,190,43.36,59.09,428.75,5,0,96.61,49.9,Summer,1,0.76,1,13,CAMPAIGN_4,Google Ads,2552.6,3.58,-48.88,0
CUST_50,64,Female,Canada,Low,Bachelor's,Twitter,878,152,287,2.15,5.08,272.63,14,0,55.46,46.14,Summer,0,-0.37,16,97,CAMPAIGN_9,Email,4123.66,57.38,100.71,0
CUST_51,61,Female,Germany,Low,High School,Instagram,734,245,9,35.46,47.83,368.98,5,1,80.63,2.08,None,1,-0.07,7,52,CAMPAIGN_12,Email,8783.46,40.92,107.83,0
CUST_52,53,Male,USA,Low,High School,Twitter,280,398,125,23.54,97.22,295.97,3,0,73.31,20.31,Winter,0,0.2,5,105,CAMPAIGN_8,TV Ads,274.53,17.87,-15.22,0
CUST_53,57,Male,USA,Low,Bachelor's,Instagram,878,196,153,15.17,74.92,291.49,6,0,84.63,24.61,Winter,1,0.68,18,117,CAMPAIGN_16,Social Media,5738.58,59.49,80.6,1
CUST_54,64,Male,UK,Medium,Bachelor's,LinkedIn,390,325,165,12.47,17.59,260.05,2,1,29.66,63.86,None,1,0.99,3,13,CAMPAIGN_3,TV Ads,4572.87,27.12,107.06,0
CUST_55,28,Other,Germany,Low,Master's,LinkedIn,95,217,232,44.1,35.55,95.85,3,1,31.49,4.86,Winter,1,-0.48,15,14,CAMPAIGN_2,TV Ads,2374.03,89.87,-15.08,0
CUST_56,39,Other,Canada,Low,PhD,Instagram,526,20,71,14.08,53.92,189.89,23,0,79.71,33.09,Winter,1,0.82,3,101,CAMPAIGN_15,Google Ads,9493.15,83.02,78.95,1
CUST_57,39,Male,USA,High,High School,Instagram,767,396,40,47.8,90.96,65.8,18,1,8.62,49.93,Winter,0,-0.97,16,90,CAMPAIGN_2,Email,6792.57,53.56,89.37,0
CUST_58,46,Other,Canada,Low,High School,Instagram,72,392,118,17.32,37.4,59.92,1,1,11.47,36.1,Winter,0,-0.07,1,38,CAMPAIGN_3,Social Media,8169.42,0.23,199.14,0
CUST_59,22,Other,UK,High,High School,LinkedIn,285,18,155,24.75,16.87,101.89,24,0,23.67,54.38,None,1,-0.75,8,73,CAMPAIGN_7,Social Media,4257.03,83.37,187.18,0
CUST_60,18,Other,Canada,High,PhD,Twitter,34,124,256,24.24,89.17,192.13,14,0,98.04,38.93,Winter,1,-0.15,19,85,CAMPAIGN_15,TV Ads,4283.93,16.42,-43.87,0
CUST_61,36,Male,UK,Medium,PhD,Facebook,432,185,41,16.7,15.17,426.03,17,0,39.12,96.43,Winter,1,-0.0,1,24,CAMPAIGN_4,Google Ads,4669.42,99.67,78.94,0
CUST_62,44,Male,India,High,High School,Instagram,562,456,296,42.52,73.62,331.83,24,1,26.26,16.83,None,0,-0.74,14,60,CAMPAIGN_11,Email,1190.58,41.08,169.51,0
CUST_63,19,Other,Germany,Medium,High School,Instagram,227,403,257,26.3,64.77,338.72,9,1,0.75,64.05,Winter,1,0.43,3,58,CAMPAIGN_2,Social Media,6287.62,87.65,152.33,1
CUST_64,54,Male,USA,Medium,High School,Facebook,751,205,54,37.37,8.4,361.47,9,1,81.25,58.53,Summer,1,-0.72,5,16,CAMPAIGN_14,Google Ads,2040.68,12.79,6.61,0
CUST_65,54,Other,Canada,High,PhD,Twitter,12,447,95,31.79,63.24,104.6,12,1,54.49,70.29,None,0,-0.26,0,32,CAMPAIGN_3,Google Ads,8475.15,15.08,145.71,0
CUST_66,31,Male,UK,Low,Master's,Facebook,755,349,141,10.76,9.39,256.76,16,0,72.73,71.61,Holiday,1,0.57,2,90,CAMPAIGN_6,Social Media,5809.89,79.99,162.83,0
CUST_67,40,Other,Germany,Medium,PhD,LinkedIn,777,436,81,44.95,28.65,26.77,28,1,19.13,21.06,Summer,1,0.78,7,110,CAMPAIGN_2,Google Ads,4566.62,73.43,100.1,0
CUST_68,30,Female,Canada,High,High School,Instagram,106,407,242,31.26,79.88,369.62,11,0,3.32,15.55,None,0,0.54,3,41,CAMPAIGN_5,Google Ads,1423.94,65.45,129.89,1
CUST_69,39,Male,USA,High,PhD,Facebook,283,352,40,33.01,65.9,182.37,2,1,38.9,43.01,None,1,-0.22,15,76,CAMPAIGN_4,TV Ads,4410.64,61.23,21.52,0
CUST_70,52,Female,UK,Medium,Bachelor's,Instagram,421,201,213,40.54,28.76,456.3,6,0,82.54,41.32,Winter,1,0.81,3,90,CAMPAIGN_3,TV Ads,4326.38,74.98,72.54,0
CUST_71,43,Other,USA,Medium,Bachelor's,LinkedIn,146,17,88,46.08,73.74,466.13,14,1,30.47,41.81,None,0,0.21,4,65,CAMPAIGN_2,TV Ads,4015.95,48.27,166.65,1
CUST_72,62,Female,USA,Low,Bachelor's,LinkedIn,43,203,258,42.67,66.86,440.67,11,1,75.72,70.7,Holiday,0,-0.89,1,56,CAMPAIGN_9,Social Media,2043.16,0.88,29.3,0
CUST_73,48,Female,UK,High,Master's,Twitter,566,192,22,27.39,99.74,49.86,15,0,54.93,55.49,Holiday,0,-0.46,0,50,CAMPAIGN_10,Social Media,8254.9,22.11,37.37,0
CUST_74,38,Other,USA,High,Bachelor's,Facebook,485,87,259,29.4,24.78,9.58,14,0,13.9,75.67,Holiday,0,0.82,6,109,CAMPAIGN_16,Social Media,2457.49,92.31,112.3,0
CUST_75,29,Male,USA,Medium,Master's,Facebook,712,176,228,9.78,95.61,65.28,15,0,99.86,91.7,Holiday,1,-0.45,0,53,CAMPAIGN_2,TV Ads,3723.92,56.37,62.78,0
CUST_76,36,Female,Canada,Medium,Bachelor's,Twitter,321,287,226,16.16,80.54,141.76,5,1,41.23,82.15,Summer,1,0.41,2,21,CAMPAIGN_12,Google Ads,7229.22,1.01,137.84,0
CUST_77,20,Female,Canada,Low,Master's,Facebook,46,166,101,28.32,84.46,257.81,14,1,31.56,53.16,None,1,-0.8,2,41,CAMPAIGN_6,Google Ads,8203.91,34.05,27.61,0
CUST_78,18,Male,India,High,High School,Facebook,375,333,281,49.15,75.3,116.13,23,0,71.19,11.31,Holiday,0,-0.96,9,97,CAMPAIGN_15,Email,6613.95,18.79,-31.28,0
CUST_79,37,Male,Canada,High,High School,Twitter,761,496,229,12.76,61.66,331.26,9,0,14.19,94.04,Summer,0,-0.04,3,31,CAMPAIGN_11,Google Ads,841.45,30.9,70.23,0
CUST_80,35,Other,USA,Low,PhD,Twitter,142,293,162,24.94,58.28,88.51,28,1,0.42,12.67,None,1,-0.89,10,43,CAMPAIGN_1,Social Media,810.45,78.94,166.15,0
CUST_81,59,Female,India,High,High School,Twitter,446,71,6,14.92,55.84,435.0,24,1,38.7,21.06,Winter,1,-0.37,3,96,CAMPAIGN_5,TV Ads,5539.93,20.22,-44.71,0
CUST_82,55,Other,USA,Low,PhD,Instagram,403,62,290,48.97,70.0,104.55,21,1,6.42,21.8,None,0,-0.06,18,111,CAMPAIGN_2,TV Ads,3516.94,56.84,11.87,0
CUST_83,23,Female,UK,Low,Master's,Instagram,604,143,60,43.35,6.21,405.84,19,1,57.15,78.8,None,1,0.07,8,101,CAMPAIGN_6,Social Media,7030.73,80.38,40.41,0
CUST_84,47,Male,Germany,High,High School,Facebook,818,110,126,16.71,43.85,145.82,21,1,70.75,57.93,Winter,0,0.17,12,69,CAMPAIGN_11,Google Ads,2112.77,69.27,181.45,0
CUST_85,57,Female,USA,High,Bachelor's,LinkedIn,66,49,89,6.26,82.03,215.32,18,0,17.68,92.77,Summer,1,0.82,2,86,CAMPAIGN_3,Social Media,5362.89,3.65,57.44,0
CUST_86,58,Other,Canada,Low,Master's,Instagram,983,378,3,7.9,15.76,130.67,23,1,97.33,44.07,None,0,-0.09,11,38,CAMPAIGN_12,Google Ads,7547.6,83.42,94.57,0
CUST_87,58,Male,UK,High,PhD,LinkedIn,502,415,100,25.95,50.48,383.84,15,0,22.8,38.49,Summer,1,-0.06,10,88,CAMPAIGN_18,TV Ads,8407.57,95.59,-35.36,0
CUST_88,64,Female,UK,Low,High School,Twitter,908,210,62,24.62,71.2,400.46,8,0,74.46,5.62,Holiday,0,-0.62,14,33,CAMPAIGN_16,Google Ads,1168.81,18.44,25.18,0
CUST_89,52,Male,UK,High,High School,Twitter,92,405,158,37.68,31.85,109.17,24,1,39.08,66.75,Holiday,0,0.48,11,33,CAMPAIGN_17,Social Media,8161.67,54.36,-3.47,0
CUST_90,38,Other,India,Low,Bachelor's,Twitter,529,312,263,10.48,35.02,83.56,11,1,2.52,88.22,Summer,1,0.91,17,13,CAMPAIGN_17,Google Ads,5127.17,68.63,139.5,0
CUST_91,19,Male,Germany,Medium,High School,Facebook,380,57,152,49.18,23.9,127.98,23,1,74.36,98.85,None,1,-0.34,19,32,CAMPAIGN_17,Social Media,7606.14,89.2,5.11,0
CUST_92,42,Female,UK,Low,Bachelor's,Instagram,787,95,207,21.98,71.17,149.2,18,0,51.95,81.34,None,0,-0.2,8,94,CAMPAIGN_16,Email,725.42,3.05,99.01,0
CUST_93,28,Male,India,Low,Master's,LinkedIn,471,425,76,29.72,26.45,275.76,9,0,99.78,27.3,Summer,0,0.77,10,56,CAMPAIGN_18,TV Ads,5290.42,46.59,84.88,0
CUST_94,54,Male,USA,Low,PhD,Twitter,920,408,244,24.21,1.84,292.02,5,1,62.44,28.2,None,1,0.43,18,93,CAMPAIGN_17,Google Ads,1365.81,29.44,-46.87,0
CUST_95,62,Female,Canada,Medium,Master's,Twitter,427,391,204,14.06,3.77,388.98,27,0,6.67,46.82,Holiday,1,-0.84,16,102,CAMPAIGN_16,Social Media,4795.37,1.35,-3.69,0
CUST_96,39,Male,Canada,Low,High School,Facebook,504,385,188,46.11,8.86,371.6,28,1,60.38,60.93,None,1,0.55,19,87,CAMPAIGN_7,Email,2977.63,50.19,94.87,0
CUST_97,52,Male,Germany,Medium,Master's,LinkedIn,579,184,245,25.68,27.2,216.12,7,0,14.43,91.34,Holiday,1,-0.01,18,108,CAMPAIGN_9,Google Ads,6047.37,21.0,3.73,0
CUST_98,26,Other,USA,Low,PhD,Instagram,151,295,168,24.16,82.57,92.55,11,0,53.89,19.91,None,0,0.28,18,95,CAMPAIGN_4,Email,7380.92,35.14,155.46,1
CUST_99,53,Other,India,Low,Master's,Instagram,931,6,112,7.96,73.29,225.28,3,0,56.3,32.9,Winter,1,-0.0,12,64,CAMPAIGN_16,Email,4006.87,81.45,51.88,0
CUST_100,34,Female,UK,Medium,Bachelor's,Instagram,360,384,184,10.86,94.87,253.72,20,0,25.7,92.86,Holiday,1,-0.49,15,12,CAMPAIGN_2,Social Media,3886.24,6.31,-35.77,0
CUST_101,37,Male,India,Medium,High School,Facebook,757,406,125,8.53,18.07,412.19,6,1,79.73,39.51,Winter,0,-0.54,2,63,CAMPAIGN_9,Social Media,2217.84,58.68,8.36,0
CUST_102,49,Other,India,Medium,High School,LinkedIn,821,175,59,43.13,38.46,351.63,17,0,14.49,35.56,Holiday,1,-0.24,7,62,CAMPAIGN_7,Email,7051.59,36.4,120.0,0
CUST_103,22,Female,Germany,Medium,PhD,LinkedIn,75,141,51,27.28,47.82,124.77,3,0,56.13,39.65,None,0,0.96,12,68,CAMPAIGN_11,Social Media,7485.24,77.21,191.21,0
CUST_104,62,Female,India,Low,PhD,Twitter,155,116,114,34.29,77.05,402.54,26,1,99.74,60.53,Holiday,0,0.4,17,9,CAMPAIGN_11,Social Media,6528.63,74.17,35.26,1
CUST_105,28,Other,UK,Medium,Bachelor's,Instagram,109,366,87,25.58,58.66,405.25,8,0,51.62,95.33,Holiday,0,0.02,1,71,CAMPAIGN_9,Social Media,9506.41,52.45,134.6,1
CUST_106,41,Male,USA,Medium,Bachelor's,Instagram,126,231,299,40.27,26.29,102.37,23,0,52.15,69.35,None,1,-0.96,16,4,CAMPAIGN_9,Social Media,4971.5,10.53,137.45,0
CUST_107,24,Male,UK,Low,Master's,Twitter,868,369,245,43.92,98.7,460.1,3,0,10.53,63.84,None,0,0.93,14,70,CAMPAIGN_16,Email,4677.69,48.97,86.49,1
CUST_108,32,Male,Germany,Low,Bachelor's,LinkedIn,209,464,81,34.1,85.47,330.62,10,1,56.56,32.6,Holiday,0,0.18,19,81,CAMPAIGN_1,TV Ads,4090.71,68.26,78.2,1
CUST_109,54,Other,India,Medium,High School,Instagram,385,490,264,33.45,55.44,402.1,10,1,10.78,10.81,Holiday,1,0.8,18,43,CAMPAIGN_20,Social Media,1063.64,76.77,-30.26,1
CUST_110,50,Female,USA,Medium,High School,LinkedIn,661,426,106,37.31,77.46,411.45,23,1,40.18,42.99,None,1,-0.26,1,22,CAMPAIGN_18,Email,8761.21,3.87,123.93,0
CUST_111,28,Female,UK,High,High School,LinkedIn,489,197,270,43.44,59.26,313.69,25,1,51.89,56.77,Winter,0,-0.19,5,111,CAMPAIGN_11,Social Media,5511.73,12.81,199.8,0
CUST_112,51,Female,UK,Low,PhD,LinkedIn,551,156,95,9.49,40.68,47.64,19,0,20.05,11.03,Holiday,0,-0.64,9,8,CAMPAIGN_19,Email,8154.0,67.17,135.15,0
CUST_113,26,Female,India,Low,High School,Twitter,903,425,226,16.34,76.89,426.43,15,1,91.86,68.38,Winter,1,0.91,13,2,CAMPAIGN_16,TV Ads,6442.3,22.45,70.51,1
CUST_114,30,Female,UK,Medium,PhD,Twitter,226,119,62,46.59,72.03,284.85,2,0,75.81,60.49,Summer,1,0.78,10,74,CAMPAIGN_10,TV Ads,9785.03,56.64,98.67,1
CUST_115,33,Female,USA,High,PhD,Facebook,991,383,294,8.35,16.77,416.68,17,0,44.18,36.15,Summer,1,-0.07,5,86,CAMPAIGN_15,Google Ads,2741.73,61.37,56.84,0
CUST_116,55,Other,Canada,Medium,High School,Facebook,629,491,42,46.06,75.61,371.13,10,1,18.77,94.38,None,1,-0.22,5,63,CAMPAIGN_3,Google Ads,6810.6,44.45,150.58,0
CUST_117,37,Other,Canada,Medium,High School,Twitter,994,461,214,21.48,3.47,416.57,16,0,1.63,33.38,Holiday,0,0.65,6,18,CAMPAIGN_10,TV Ads,4619.75,10.74,179.54,0
CUST_118,42,Male,USA,High,Bachelor's,Instagram,723,208,214,40.04,24.97,447.26,26,0,6.42,14.16,Winter,1,-0.99,0,26,CAMPAIGN_19,Email,1972.26,91.52,146.57,0
CUST_119,56,Female,UK,High,Master's,Facebook,934,144,31,21.58,65.79,212.06,28,1,40.2,41.46,Summer,1,0.85,18,7,CAMPAIGN_1,Google Ads,8314.04,64.83,-45.69,1
CUST_120,42,Female,Germany,Low,Bachelor's,Instagram,593,137,20,42.57,73.75,257.79,24,0,94.52,17.66,Winter,1,0.41,7,9,CAMPAIGN_18,Email,1604.04,84.57,138.58,1
CUST_121,40,Female,India,Medium,Bachelor's,LinkedIn,625,35,54,22.38,36.16,123.38,22,1,27.28,31.99,None,0,-0.27,11,52,CAMPAIGN_4,Google Ads,9798.62,78.84,126.1,0
CUST_122,41,Female,India,Low,Master's,Instagram,493,325,6,37.06,44.99,456.27,8,0,3.82,89.95,Winter,1,-0.7,1,76,CAMPAIGN_10,Email,9970.37,87.48,98.64,0
CUST_123,52,Other,India,High,High School,Instagram,894,242,77,43.38,85.9,466.48,21,1,69.14,8.05,Summer,1,0.4,4,78,CAMPAIGN_14,TV Ads,4357.58,33.01,85.97,1
CUST_124,27,Male,USA,Low,Bachelor's,LinkedIn,955,490,109,42.58,14.67,393.54,9,0,35.67,38.75,Holiday,1,0.15,17,95,CAMPAIGN_8,TV Ads,6575.83,78.06,27.64,0
CUST_125,20,Other,Canada,Medium,Bachelor's,Instagram,976,463,67,42.77,66.82,274.84,19,1,49.78,59.43,None,0,0.83,10,98,CAMPAIGN_12,Email,6132.81,90.68,160.56,1
CUST_126,46,Other,India,High,High School,Instagram,900,331,28,16.33,52.07,117.52,6,0,96.4,17.58,Summer,0,0.77,1,33,CAMPAIGN_20,Social Media,4181.24,16.93,36.79,0
CUST_127,41,Male,Canada,Medium,Master's,Instagram,376,269,33,32.39,39.81,10.55,26,1,67.21,93.74,Summer,1,-0.75,17,96,CAMPAIGN_18,TV Ads,3923.26,76.56,37.4,0
CUST_128,32,Male,Canada,High,PhD,Facebook,944,167,6,9.27,68.36,20.2,5,0,33.23,22.74,Holiday,0,0.84,5,7,CAMPAIGN_13,Social Media,2347.87,93.25,99.85,1
CUST_129,54,Other,India,Medium,Bachelor's,Facebook,241,161,78,21.22,11.97,21.92,23,0,28.88,33.46,Holiday,1,0.03,0,116,CAMPAIGN_14,Google Ads,4114.38,30.1,166.95,0
CUST_130,37,Male,India,Medium,PhD,Instagram,855,397,156,14.91,65.28,182.56,17,1,46.27,93.42,Winter,1,-0.07,1,37,CAMPAIGN_17,Email,1255.02,42.11,178.69,0
CUST_131,23,Male,USA,Medium,Bachelor's,Instagram,786,197,143,3.16,93.66,198.31,19,0,66.37,43.62,None,0,0.74,15,114,CAMPAIGN_14,TV Ads,5719.84,36.71,82.78,1
CUST_132,61,Male,Germany,Medium,PhD,Facebook,673,230,89,39.14,13.72,385.16,22,0,89.42,36.17,Summer,0,-0.05,0,63,CAMPAIGN_11,TV Ads,7652.29,29.62,-34.59,0
CUST_133,26,Male,Canada,Low,Bachelor's,Facebook,279,61,211,16.23,6.45,388.61,16,0,9.95,70.16,None,1,-0.91,5,101,CAMPAIGN_3,Email,4365.26,2.55,-34.14,0
